Sample_ID,x,y,Date_BC_AD_Start,Date_BC_AD_Median,Date_BC_AD_Stop,Date_C14,C14_ages,C14_sds,MDS_C1,MDS_C2
AH1.SG,7736270.810549721,2114533.456518406,-8250,-7975,-7700,NA,NA,NA,-0.01817,-0.06592
AH2.SG,7736270.810549721,2114533.456518406,-8200,-7954,-7748,(MAMS-25472:8833±41),8833,41,-0.01271,-0.06603
AH4.SG,7736270.810549721,2114533.456518406,-8200,-7951,-7748,(MAMS-25473:8832±41),8832,41,-0.01672,-0.06219
I7527,7703802.926691884,2129638.5208368655,-8200,-7950,-7700,NA,NA,NA,-0.01084,-0.06694
ZHAG_BON004.A0101_Luk10,6317489.489007653,1931993.5197883472,-8300,-7950,-7600,NA,NA,NA,0.04032,-0.00275
ZHAJ_BON034.A0101_Luk9,6317489.489007653,1931993.5197883472,-8300,-7950,-7600,NA,NA,NA,0.03728,-0.00123
ZKO_BON001.A0101_Luk7,6317489.489007653,1931993.5197883472,-8300,-7950,-7600,NA,NA,NA,0.03917,-0.00217
ZMOJ_BON014.A0101_Luk21,6317489.489007653,1931993.5197883472,-8300,-7950,-7600,NA,NA,NA,0.04095,-0.00471
I1944,7703802.926691884,2129638.5208368655,-8000,-7850,-7700,NA,NA,NA,-0.01531,-0.06561
I1945,7703802.926691884,2129638.5208368655,-8000,-7850,-7700,NA,NA,NA,-0.0121,-0.06574
I1290,7703802.926691884,2129638.5208368655,-8168,-7843,-7605,(Poz-81100:8780±50),8780,50,-0.00941,-0.06412
KK1.SG,6973874.97534124,2732789.7364789965,-7941,-7725,-7589,(RTT-5246:8665±65);(OxA-28256:8745±40),8665;8745,65;40,-0.0193,-0.0574
I4660,5275947.825469322,2457533.3877908885,-7938,-7689,-7586,(PSUAMS-2296:8676±58),8676,58,-0.05473,0.07823
Hum1.SG,4187658.2663817722,3886819.9364183554,-7790,-7682,-7597,NA,NA,NA,-0.07605,0.03097
Hum2.SG,4187658.2663817722,3886819.9364183554,-7790,-7682,-7597,NA,NA,NA,-0.07617,0.03821
