Sample_ID,Latitude,Longitude,Date_BC_AD_Median,MDS_C1,MDS_C2
AH1.SG,34.188,48.369,-7975,-0.01817,-0.06592
AH2.SG,34.188,48.369,-7954,-0.01271,-0.06603
AH4.SG,34.188,48.369,-7951,-0.01672,-0.06219
I7527,34.45,48.116,-7950,-0.01084,-0.06694
ZHAG_BON004.A0101_Luk10,37.75,32.867,-7950,0.04032,-0.00275
ZHAJ_BON034.A0101_Luk9,37.75,32.867,-7950,0.03728,-0.00123
ZKO_BON001.A0101_Luk7,37.75,32.867,-7950,0.03917,-0.00217
ZMOJ_BON014.A0101_Luk21,37.75,32.867,-7950,0.04095,-0.00471
I1944,34.45,48.116,-7850,-0.01531,-0.06561
I1945,34.45,48.116,-7850,-0.0121,-0.06574
I1290,34.45,48.116,-7843,-0.00941,-0.06412
KK1.SG,42.28,43.28,-7725,-0.0193,-0.0574
I4660,44.534,22.05,-7689,-0.05473,0.07823
Hum1.SG,58.064,7.744,-7682,-0.07605,0.03097
Hum2.SG,58.064,7.744,-7682,-0.07617,0.03821
KFH2_KFH002.A0101,32.704,36.468,-7635,0.0388,-0.02129
I6754,51.633,-4.693,-7617,-0.05394,0.10261
I1710,31.988,35.976,-7596,0.04424,-0.01798
I5234,44.596,22.011,-7550,-0.05943,0.08391
I5237,44.596,22.011,-7550,-0.05768,0.08459
I5409_published,44.596,22.011,-7550,-0.05664,0.08261
M95.SG,44.626,22.606,-7427,-0.06176,0.07598
I4081_published,44.517,22.722,-7420,-0.05812,0.07667
I4582,44.517,22.722,-7381,-0.06119,0.07752
OC.SG,44.517,22.722,-7327,-0.06062,0.07455
I3025_all.SG,50.468,-3.503,-7309,-0.05268,0.10061
I4630,56.283,25.133,-7264,-0.07141,0.05072
WC1.SG,34.613,47.106,-7262,-0.009,-0.06541
Falkenstein,48.06,9.04,-7204,-0.05514,0.0978
SF9.SG,57.285,17.971,-7194,-0.07141,0.05668
Chan.SG,42.734,-7.031,-7143,-0.0433,0.07418
R15.SG,41.96,13.54,-7128,-0.05892,0.11006
PER503.SG,45.77,0.33,-7100,-0.05589,0.10269
I5436,44.626,22.606,-7074,-0.06216,0.07367
I4607,44.626,22.606,-6964,-0.05962,0.07627
SF12.SG,57.285,17.971,-6945,-0.07297,0.05587
SF11.SG,57.285,17.971,-6942,-0.04936,0.02597
I5401,44.64,22.303,-6919,-0.05971,0.08073
BAJ001_BAJ001.A0101,30.415,35.462,-6900,0.04215,-0.01772
I5876,48.914,33.765,-6888,-0.06921,0.03867
M96.SG,44.626,22.606,-6875,-0.06205,0.07399
