Sample_ID,Date_BC_AD_Median,MDS_C1,MDS_C2,x,y
AH1.SG,-7975,-0.01817,-0.06592,7736270.810549721,2114533.456518406
AH2.SG,-7954,-0.01271,-0.06603,7736270.810549721,2114533.456518406
AH4.SG,-7951,-0.01672,-0.06219,7736270.810549721,2114533.456518406
I7527,-7950,-0.01084,-0.06694,7703802.926691884,2129638.5208368655
ZHAG_BON004.A0101_Luk10,-7950,0.04032,-0.00275,6317489.489007653,1931993.5197883472
ZHAJ_BON034.A0101_Luk9,-7950,0.03728,-0.00123,6317489.489007653,1931993.5197883472
ZKO_BON001.A0101_Luk7,-7950,0.03917,-0.00217,6317489.489007653,1931993.5197883472
ZMOJ_BON014.A0101_Luk21,-7950,0.04095,-0.00471,6317489.489007653,1931993.5197883472
I1944,-7850,-0.01531,-0.06561,7703802.926691884,2129638.5208368655
I1945,-7850,-0.0121,-0.06574,7703802.926691884,2129638.5208368655
I1290,-7843,-0.00941,-0.06412,7703802.926691884,2129638.5208368655
KK1.SG,-7725,-0.0193,-0.0574,6973874.97534124,2732789.7364789965
I4660,-7689,-0.05473,0.07823,5275947.825469322,2457533.3877908885
Hum1.SG,-7682,-0.07605,0.03097,4187658.2663817722,3886819.9364183554
Hum2.SG,-7682,-0.07617,0.03821,4187658.2663817722,3886819.9364183554
KFH2_KFH002.A0101,-7635,0.0388,-0.02129,6783628.349417223,1500928.9381715402
I6754,-7617,-0.05394,0.10261,3311622.465766154,3271325.088019884
I1710,-7596,0.04424,-0.01798,6761873.09433732,1409694.7624947403
I5234,-7550,-0.05943,0.08391,5271842.145230371,2463843.856226056
I5237,-7550,-0.05768,0.08459,5271842.145230371,2463843.856226056
I5409_published,-7550,-0.05664,0.08261,5271842.145230371,2463843.856226056
M95.SG,-7427,-0.06176,0.07598,5317915.154118307,2474903.850942423
I4081_published,-7420,-0.05812,0.07667,5328934.122986868,2464505.6079409933
I4582,-7381,-0.06119,0.07752,5328934.122986868,2464505.6079409933
OC.SG,-7327,-0.06062,0.07455,5328934.122986868,2464505.6079409933
I3025_all.SG,-7309,-0.05268,0.10061,3368517.503979196,3127726.1322943987
I4630,-7264,-0.07141,0.05072,5250921.5075693745,3785118.8996235537
WC1.SG,-7262,-0.009,-0.06541,7615015.777686853,2101529.700895153
Falkenstein,-7204,-0.05514,0.0978,4249408.117941534,2772290.511614063
SF9.SG,-7194,-0.07141,0.05668,4801104.324884629,3824839.384359929
Chan.SG,-7143,-0.0433,0.07418,2935522.250675679,2338709.1801058054
R15.SG,-7128,-0.05892,0.11006,4615426.451995341,2102075.4834440234
PER503.SG,-7100,-0.05589,0.10269,3570223.832076681,2566326.9758744948
I5436,-7074,-0.06216,0.07367,5317915.154118307,2474903.850942423
I4607,-6964,-0.05962,0.07627,5317915.154118307,2474903.850942423
SF12.SG,-6945,-0.07297,0.05587,4801104.324884629,3824839.384359929
SF11.SG,-6942,-0.04936,0.02597,4801104.324884629,3824839.384359929
I5401,-6919,-0.05971,0.08073,5293961.875035506,2472439.458390909
BAJ001_BAJ001.A0101,-6900,0.04215,-0.01772,6762266.003216848,1227307.414196245
I5876,-6888,-0.06921,0.03867,6028715.537616784,3146182.7167555536
M96.SG,-6875,-0.06205,0.07399,5317915.154118307,2474903.850942423
SBj.SG,-6821,-0.07271,0.05295,4828091.346185878,3884806.798365726
I4655_published,-6804,-0.0577,0.08005,5317915.154118307,2474903.850942423
I4916,-6757,-0.05904,0.08082,5293961.875035506,2472439.458390909
I4870,-6754,-0.06095,0.08835,5275947.825469322,2457533.3877908885
I1699,-6750,0.04865,-0.01903,6761873.09433732,1409694.7624947403
I0867,-6750,0.05069,-0.01647,6694855.944172321,1363614.2639545775
I5411,-6650,-0.06071,0.07619,5317915.154118307,2474903.850942423
BDB001,-6650,-0.05937,0.09961,4465348.619530294,3134162.316623536
cth728.SG,-6620,0.04501,-0.01532,6316488.031808476,1921940.803492505
cth747.SG,-6556,0.04258,-0.01663,6316488.031808476,1921940.803492505
I4877,-6551,-0.06145,0.08686,5275947.825469322,2457533.3877908885
CCH285.SG,-6550,0.04709,-0.00772,6316488.031808476,1921940.803492505
CCH294.SG,-6550,0.048280000000000003,-0.01865,6316488.031808476,1921940.803492505
CCH311.SG,-6550,0.04147,-0.01262,6316488.031808476,1921940.803492505
pch034.SG,-6550,0.04072,-0.01169,6316488.031808476,1921940.803492505
I4874,-6547,-0.06029,0.08308,5275947.825469322,2457533.3877908885
I4550,-6539,-0.0676,0.08318,5250921.5075693745,3785118.8996235537
Tep002.SG,-6536,0.04383,-0.01695,6440901.6810851805,2021147.858855472
I0211,-6500,-0.08592,0.01034,5650108.555240128,4528959.446548175
I0061,-6500,-0.08739,0.0037200000000000002,5650108.555240128,4528959.446548175
I4871,-6500,-0.06001,0.08292,5275947.825469322,2457533.3877908885
I4872,-6500,-0.05896,0.08254,5275947.825469322,2457533.3877908885
I5772,-6500,-0.05781,0.08019,5275947.825469322,2457533.3877908885
I4875,-6491,-0.06072,0.08712,5275947.825469322,2457533.3877908885
